genotype	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
WATDE0181	0.027185	-0.0430594	0.0332261	0.0189025	-0.0178921	-0.0115094	0.0532176	-0.0244306	0.000456426	-0.00796803
WATDE0182	0.0168996	-0.0374738	-0.0174132	-0.11042	-0.0408732	0.0458995	0.0268088	0.0409042	0.0325874	-0.0410696
WATDE0183	0.00639223	-0.0595771	-0.0393848	-0.120636	0.17942	-0.0619282	-0.0767523	-0.01496	-0.0381854	-0.0162656
WATDE0184	0.0160626	-0.00822589	-0.00339271	0.028504	-0.00750426	0.0117907	-0.0387313	0.0363972	-0.0316229	0.0320765
WATDE0185	0.0135597	-0.0685974	-0.0975916	-0.125345	-0.063783	0.0846552	-0.00967482	0.00575576	0.0377013	-0.0655442
WATDE0187	0.0118843	-0.0802239	-0.113792	-0.153829	-0.073731	0.100747	-0.0151271	0.00894461	0.0514598	-0.0762814
WATDE0188	0.0278342	-0.0276193	-0.0144996	0.00350114	-0.0266704	0.00078902	0.0157947	-0.0318981	0.0187252	-0.0452176
WATDE0190	0.0344619	0.00597601	-0.0150001	0.0306611	-0.000820305	0.00761286	0.000473498	-0.0646206	0.00550152	-0.0673518
WATDE0191	0.0146163	0.0277112	-0.0190756	0.0142727	0.0108355	0.0114333	-0.0102405	-0.00157849	-0.0197635	0.0128863
WATDE0192	0.0123135	0.0476802	-0.000965291	-0.019646	0.00955478	-0.00226552	0.00978081	-0.0243069	-0.0167455	0.0318247
WATDE0194	0.034678	0.00675411	-0.0151361	0.0316461	-0.0006409	0.00772852	-0.00086792	-0.0688401	0.0062658	-0.070625
WATDE0195	0.0132807	0.0195402	-0.0140726	0.0227538	0.00507013	0.0143624	-0.0205978	0.0157667	-0.00450862	-0.0288338
WATDE0196	0.0158277	-0.00837064	0.0333894	0.000567234	-0.0175753	-0.00936234	0.0073394	0.0194865	0.00440044	0.00155588
WATDE0198	0.0223729	0.0157539	-0.00433029	0.0135352	-0.00535549	0.00339037	-0.00554786	0.000594482	0.00357389	-0.0345211
WATDE0199	0.0163527	0.0537719	0.0147097	-0.0287575	0.00502458	-0.0149817	0.0121676	0.0205184	0.0203224	-0.00710567
WATDE0200	0.0296746	-0.0149122	0.0141334	0.0143252	-0.0114637	0.00458425	0.0109705	-0.00171916	0.00192387	-0.0416016
WATDE0203	0.0194829	0.0580994	0.00890236	-0.0326001	0.00983269	-0.0157908	0.0109926	0.0297681	0.0244614	-0.0117106
WATDE0204	0.0190541	0.0540201	0.00754975	-0.0282179	0.00709239	-0.013416	0.0131452	0.0168866	0.0205628	-0.004267
WATDE0205	0.0193006	0.0530122	0.00371375	-0.0272943	0.0070389	-0.0128008	0.0127148	0.0223371	0.0225871	-0.00661019
